n_windows,mean_absolute_error_bpm,bias_ppg_minus_ecg_bpm,loa_lower_bpm,loa_upper_bpm,pearson_r,pearson_p,fraction_within_5_bpm,fraction_within_10_bpm,subject_id,stratum
448,6.732106388475566,-3.0181445263835402,-21.9337172888472,15.897428236080117,0.6899173978157016,1.4145975223309447e-64,0.5803571428571429,0.75,S10,all
73,4.272080967113441,1.8418400095097818,-8.889065011954113,12.572745030973678,0.6429969329621712,8.579392218482709e-10,0.6986301369863014,0.9041095890410958,S10,amusement
233,5.613795615466882,-2.7125614372222233,-18.86461979329464,13.439496918850192,0.43747110869668904,2.6037067638226862e-12,0.6394849785407726,0.8025751072961373,S10,baseline
142,9.831742063619641,-6.018001786206073,-29.763467534395204,17.727463961983062,0.34867883695693247,2.1139511742136397e-05,0.4225352112676056,0.5845070422535211,S10,stress
443,11.690281755718017,-5.652274914454149,-38.53897434620785,27.234424517299555,0.7262105374417315,8.853224472464073e-74,0.4966139954853273,0.6297968397291196,S11,all
73,4.495197271792281,2.229929926022316,-9.92802332492898,14.38788317697361,0.7544499132890498,1.28746149853656e-14,0.7534246575342466,0.8767123287671232,S11,amusement
235,5.692695542867705,3.460904916929146,-11.07006288741379,17.99187272127208,0.5273862445956592,3.169787266376976e-18,0.6382978723404256,0.8127659574468085,S11,baseline
135,26.02119973606174,-25.778187608749384,-55.13971854302031,3.5833433255215397,-0.22166713781133485,0.009771370172559905,0.1111111111111111,0.17777777777777778,S11,stress
442,8.677298502426591,-4.184071222357292,-28.270833545142157,19.90269110042757,0.4154690164065458,7.121609881970684e-20,0.5135746606334841,0.6968325791855203,S13,all
76,6.085326698736184,-0.6332681327588405,-16.688243495724265,15.421707230206586,0.3253461318986638,0.004133934775327228,0.5526315789473685,0.8026315789473685,S13,amusement
235,5.5858755637636195,0.19604754545372388,-15.111241698022836,15.503336788930282,0.3564409839792835,1.9018307747145952e-08,0.6085106382978723,0.8212765957446808,S13,baseline
131,15.72672024033704,-14.101544086823484,-43.34790506926376,15.144816895616788,0.20005523731318312,0.021963256178851562,0.32061068702290074,0.4122137404580153,S13,stress
441,7.543034988060119,-2.5580452269471405,-27.29709716489239,22.18100671099811,0.8593381451203348,6.234751771264623e-130,0.6462585034013606,0.7732426303854876,S14,all
73,5.046682042459917,2.5187047520475168,-10.358063523689044,15.395473027784078,0.42076348810341335,0.0002100638512604591,0.6438356164383562,0.821917808219178,S14,amusement
235,4.04141994024666,1.5679879726356938,-9.281621674831339,12.417597620102725,0.6069589527912681,4.820557509735354e-25,0.774468085106383,0.9234042553191489,S14,baseline
133,15.100277854714081,-12.634891470319895,-46.938267679266104,21.66848473862632,0.09919504162031165,0.2559654306379755,0.42105263157894735,0.48120300751879697,S14,stress
444,6.264767232464105,2.43940817867588,-14.214701171005295,19.093517528357054,0.42361967231045317,9.213732208686995e-21,0.5427927927927928,0.8085585585585585,S15,all
73,5.350000467883285,2.679581187435106,-12.711109485077046,18.07027185994726,0.28309615038498026,0.015228533854960613,0.684931506849315,0.863013698630137,S15,amusement
234,6.264705115645013,2.9369646353815035,-13.941436746140162,19.81536601690317,0.35201952191072305,3.126857133257731e-08,0.5512820512820513,0.8162393162393162,S15,baseline
137,6.752303795603284,1.461591824598952,-15.406461499073679,18.32964514827158,0.3996021820365589,1.3150814943385814e-06,0.45255474452554745,0.7664233576642335,S15,stress
437,9.849860858690858,1.7388804181677973,-26.1539643729418,29.63172520927739,0.8568144513636519,3.2690656293587494e-127,0.4668192219679634,0.6224256292906178,S16,all
72,5.325154358538989,1.349553422882896,-13.55977526418302,16.25888210994881,0.48445055639257256,1.6180211244524197e-05,0.625,0.8194444444444444,S16,amusement
