subject_id,metric,baseline_n,amusement_n,baseline_mean,amusement_mean,delta_b_minus_a,wilcoxon_p
S10,inhouse_ppg_sqi,235,73,0.9827764414303387,0.9897560273919032,0.0069795859615644495,5.808708370805288e-07
S10,inhouse_ecg_sqi,235,73,0.9688166818595287,0.9600856388219463,-0.008731043037582431,1.3724954937701116e-06
S10,inhouse_ppg_motion,235,73,0.03131556103574793,0.01862540474199436,-0.012690156293753571,5.808708370805288e-07
S10,hr_abs_diff,233,73,5.618562684105401,4.272080967113441,-1.3464817169919598,0.8159968486163113
S10,orphanidou_template_corr,235,73,0.8693204514211741,0.8031509048564505,-0.06616954656472362,0.10497738916973823
S11,inhouse_ppg_sqi,235,73,0.9922829452576994,0.9910636118672957,-0.0012193333904036985,0.06810577123516212
S11,inhouse_ecg_sqi,235,73,0.9824149777625826,0.9835099572004892,0.0010949794379065958,0.11746146534517797
S11,inhouse_ppg_motion,235,73,0.014031008622364725,0.016247978423098552,0.0022169698007338274,0.06810577123516212
S11,hr_abs_diff,235,73,5.692695542867705,4.495197271792281,-1.1974982710754238,0.08895602379226537
S11,orphanidou_template_corr,235,73,0.7296807618391088,0.7758718954753585,0.046191133636249715,0.023136848085630497
S13,inhouse_ppg_sqi,235,76,0.9876204287713343,0.988771933401549,0.0011515046302147391,0.22941496557715013
S13,inhouse_ecg_sqi,235,76,0.9865514162187922,0.9853864842751506,-0.001164931943641534,0.03922570144021733
S13,inhouse_ppg_motion,235,76,0.022508311324846864,0.020414666542638096,-0.0020936447822087687,0.22941496557715013
S13,hr_abs_diff,235,76,5.5858755637636195,6.085326698736184,0.4994511349725643,0.2742736789435528
S13,orphanidou_template_corr,235,76,0.8030491598217804,0.7794397305503344,-0.023609429271445936,0.31056861314068396
S14,inhouse_ppg_sqi,235,73,0.9937847777435088,0.9854058674863704,-0.008378910257138439,3.640896351394524e-15
S14,inhouse_ecg_sqi,235,73,0.9856385572918623,0.9681908737297148,-0.017447683562147542,1.061943559384539e-19
S14,inhouse_ppg_motion,235,73,0.01130040410271125,0.026534786388417404,0.015234382285706154,3.640896351394524e-15
