fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0005920663114268798,0.999464760039884
0.0006127450980392157,0.0005920663114268798,0.9993984234264244
0.0006127450980392157,0.0011841326228537595,0.9992527824311574
0.001838235294117647,0.0011841326228537595,0.9990966557857466
0.001838235294117647,0.0017761989342806395,0.999090197572365
0.0026552287581699347,0.0017761989342806395,0.998997970828748
0.0026552287581699347,0.002368265245707519,0.9989915071045086
0.0032679738562091504,0.002368265245707519,0.9989210086036832
0.0032679738562091504,0.0041444641799881585,0.9988894800331638
0.003880718954248366,0.0041444641799881585,0.9988829405370612
0.003880718954248366,0.004736530491415038,0.9988743221297208
0.004493464052287581,0.004736530491415038,0.9988701562089128
0.004493464052287581,0.0053285968028419185,0.9988401858624658
0.006127450980392157,0.0053285968028419185,0.9988111449594947
0.006127450980392157,0.005920663114268798,0.9988081676843296
0.006331699346405229,0.005920663114268798,0.998796237527569
0.006331699346405229,0.006512729425695678,0.99879602686153
0.006944444444444444,0.006512729425695678,0.9987874456530874
0.006944444444444444,0.007104795737122558,0.9987862546576064
0.007148692810457516,0.007104795737122558,0.9987700781496464
0.007148692810457516,0.0076968620485494375,0.9987695372789688
0.007965686274509803,0.0076968620485494375,0.9986924406674244
0.007965686274509803,0.008288928359976317,0.9986869181838064
0.008782679738562092,0.008288928359976317,0.9986521760133462
0.008782679738562092,0.008880994671403197,0.9986468435512847
0.008986928104575163,0.008880994671403197,0.9986401422747936
0.008986928104575163,0.010065127294256957,0.998630993364436
0.01082516339869281,0.010065127294256957,0.9985687801841844
0.01082516339869281,0.010657193605683837,0.9985572790055032
0.011437908496732025,0.010657193605683837,0.9985394792077076
0.011437908496732025,0.011249259917110717,0.9985264944610746
0.01184640522875817,0.011249259917110717,0.9985234673759944
0.01184640522875817,0.012433392539964476,0.99850936552735
0.013480392156862746,0.012433392539964476,0.9984794984018944
0.013480392156862746,0.013025458851391355,0.9984761729744788
0.014705882352941176,0.013025458851391355,0.9984472831317636
0.014705882352941176,0.014801657785671996,0.998435587123667
0.01511437908496732,0.014801657785671996,0.9984148388526072
0.01511437908496732,0.015393724097098875,0.9984087931594194
0.016544117647058824,0.015393724097098875,0.9983392138420312
0.016544117647058824,0.015985790408525755,0.9983370030953784
0.01715686274509804,0.015985790408525755,0.9982963289591515
0.01715686274509804,0.016577856719952634,0.9982893881787208
0.018995098039215685,0.016577856719952634,0.9982572439857288
0.018995098039215685,0.017169923031379514,0.9982561608687104
0.0196078431372549,0.017169923031379514,0.9982410042454728
0.0196078431372549,0.017761989342806393,0.9982347087273656
0.020016339869281044,0.017761989342806393,0.9982283732799028
0.020016339869281044,0.018946121965660152,0.998227453926406
0.020833333333333332,0.018946121965660152,0.998212276622806
0.020833333333333332,0.019538188277087035,0.9982087596075536
0.02246732026143791,0.019538188277087035,0.9981686231576556
0.02246732026143791,0.020130254588513915,0.9981577666364922
0.02389705882352941,0.020130254588513915,0.9981313449635156
0.02389705882352941,0.020722320899940794,0.9981259210724014
0.024305555555555556,0.020722320899940794,0.9981256689131188
0.024305555555555556,0.021314387211367674,0.9981167459736444
0.025735294117647058,0.021314387211367674,0.9980838968676664
0.025735294117647058,0.021906453522794554,0.9980831417927004
0.027165032679738563,0.021906453522794554,0.9980364959269488
0.027165032679738563,0.022498519834221433,0.9980332760967056
0.027369281045751634,0.022498519834221433,0.9980234287956165
0.027369281045751634,0.023090586145648313,0.9980209813944824
0.028799019607843136,0.023090586145648313,0.9979990482754704
0.028799019607843136,0.023682652457075192,0.997990459689562
0.0298202614379085,0.023682652457075192,0.9979709000601112
0.0298202614379085,0.02427471876850207,0.9979646296281416
0.030841503267973858,0.02427471876850207,0.9979530782348028
0.030841503267973858,0.02486678507992895,0.9979526533364742
0.03145424836601307,0.02486678507992895,0.9979386345854278
0.03145424836601307,0.02545885139135583,0.9979351635634196
0.03165849673202614,0.02545885139135583,0.9979294450996968
0.03165849673202614,0.02605091770278271,0.9979256119577148
0.031862745098039214,0.02605091770278271,0.9979250705064148
0.031862745098039214,0.027235050325636473,0.9979148015001488
0.032883986928104576,0.027235050325636473,0.997898248916409
0.032883986928104576,0.027827116637063352,0.9978965740132856
0.03451797385620915,0.027827116637063352,0.9978734605974516
0.03451797385620915,0.028419182948490232,0.9978594065280768
0.035130718954248366,0.028419182948490232,0.9978476287819464
0.035130718954248366,0.02960331557134399,0.9978418101235684
0.03553921568627451,0.02960331557134399,0.9978344196147264
0.03553921568627451,0.03078744819419775,0.997823224188005
0.03574346405228758,0.03078744819419775,0.9978192569843354
0.03574346405228758,0.03137951450562463,0.9978186389093776
0.03656045751633987,0.03137951450562463,0.9978080931241908
0.03656045751633987,0.03256364712847839,0.9977932724570076
0.03880718954248366,0.03256364712847839,0.997771437880058
0.03880718954248366,0.03315571343990527,0.9977700000347618
0.0392156862745098,0.03315571343990527,0.9977623601017364
0.0392156862745098,0.03374777975133215,0.9977605432866528
0.04064542483660131,0.03374777975133215,0.9977337062482692
0.04064542483660131,0.03493191237418591,0.9977271139795472
0.04125816993464052,0.03493191237418591,0.9977137651316912
0.04125816993464052,0.036116044997039666,0.9977041954994026
0.042075163398692814,0.036116044997039666,0.9976881244849722
0.042075163398692814,0.036708111308466546,0.9976879933685718
0.0428921568627451,0.036708111308466546,0.9976670114075428
0.0428921568627451,0.037300177619893425,0.9976657182846655
0.04411764705882353,0.037300177619893425,0.9976436138308916
0.04411764705882353,0.037892243931320305,0.9976434414012316
0.044730392156862746,0.037892243931320305,0.9976310807763566
0.044730392156862746,0.03848431024274719,0.9976278941662504
0.04534313725490196,0.03848431024274719,0.9976172646564748
0.04534313725490196,0.03907637655417407,0.9976108485362084
0.04616013071895425,0.03907637655417407,0.997586769228512
0.04616013071895425,0.04085257548845471,0.9975744684455876
0.04758986928104575,0.04085257548845471,0.997544380046404
0.04758986928104575,0.04144464179988159,0.9975404042973436
0.04779411764705882,0.04144464179988159,0.9975384988427451
0.04779411764705882,0.04322084073416223,0.9975289270690542
0.04861111111111111,0.04322084073416223,0.9975161907358264
0.04861111111111111,0.04381290704558911,0.9975137133282764
0.049019607843137254,0.04381290704558911,0.997508269878383
0.049019607843137254,0.04440497335701599,0.9975063868078264
0.0494281045751634,0.04440497335701599,0.9974963424382974
0.0494281045751634,0.044997039668442866,0.9974940704929154
0.05004084967320262,0.044997039668442866,0.9974859195686498
0.05004084967320262,0.046181172291296625,0.9974808339141898
0.05024509803921569,0.046181172291296625,0.9974759129918188
0.05024509803921569,0.047365304914150384,0.9974722090801018
0.05044934640522876,0.047365304914150384,0.9974558171929724
0.05044934640522876,0.04854943753700414,0.9974438612739662
0.052083333333333336,0.04854943753700414,0.9974223899835128
0.052083333333333336,0.04914150384843102,0.9974202217278444
0.05330882352941176,0.04914150384843102,0.9974101245320212
0.05330882352941176,0.0497335701598579,0.9974078314230472
0.05392156862745098,0.0497335701598579,0.9974040629958284
0.05392156862745098,0.05032563647128478,0.997386899381556
0.05555555555555555,0.05032563647128478,0.9973517260020532
0.05555555555555555,0.05091770278271166,0.9973493373689044
0.05575980392156863,0.05091770278271166,0.9973476001189552
0.05575980392156863,0.05328596802841918,0.9973393782837364
0.0559640522875817,0.05328596802841918,0.9973378800786792
0.0559640522875817,0.054470100651272946,0.9973247403975496
0.056576797385620915,0.054470100651272946,0.9973092551431992
0.056576797385620915,0.055062166962699825,0.9973058583650553
0.058619281045751634,0.055062166962699825,0.9972725756775852
0.058619281045751634,0.055654233274126705,0.9972722753899288
0.058823529411764705,0.055654233274126705,0.9972671079419648
0.058823529411764705,0.056838365896980464,0.9972654639837024
0.06270424836601307,0.056838365896980464,0.9972031442360192
0.06270424836601307,0.057430432208407343,0.9971993499479312
0.06290849673202614,0.057430432208407343,0.9971981842673998
0.06290849673202614,0.05802249851983422,0.9971921608375628
0.06331699346405228,0.05802249851983422,0.9971853319643628
0.06331699346405228,0.0586145648312611,0.9971846126102736
0.06535947712418301,0.0586145648312611,0.997148284973645
0.06535947712418301,0.05920663114268798,0.9971389323299265
0.0661764705882353,0.05920663114268798,0.9971362538375734
0.0661764705882353,0.05979869745411486,0.9971322125484328
0.06699346405228758,0.05979869745411486,0.9971272351804386
0.06699346405228758,0.06039076376554174,0.9971256483635662
0.06842320261437909,0.06039076376554174,0.9971075820773004
0.06842320261437909,0.06098283007696862,0.9971075594764578
0.06924019607843138,0.06098283007696862,0.9970972985827956
0.06924019607843138,0.0615748963883955,0.997090560510258
0.06944444444444445,0.0615748963883955,0.9970893857061216
0.06944444444444445,0.06216696269982238,0.997086599414574
0.06985294117647059,0.06216696269982238,0.9970861216447756
0.06985294117647059,0.06335109532267615,0.99707499257713
0.07148692810457516,0.06335109532267615,0.9970526485181924
0.07148692810457516,0.06394316163410302,0.997044723268412
0.0718954248366013,0.06394316163410302,0.9970392043417688
0.0718954248366013,0.0645352279455299,0.9970385724719696
0.07291666666666667,0.0645352279455299,0.9970225222608392
0.07291666666666667,0.06571936056838366,0.9970199533777576
0.07455065359477124,0.06571936056838366,0.9969905201330688
0.07455065359477124,0.06690349319123742,0.996979162388355
0.07516339869281045,0.06690349319123742,0.9969690900223718
0.07516339869281045,0.0674955595026643,0.9969671074036096
0.07536764705882353,0.0674955595026643,0.9969630696501276
0.07536764705882353,0.06808762581409118,0.996960208068446
0.0755718954248366,0.06808762581409118,0.9969597509243022
0.0755718954248366,0.06867969212551805,0.996954967731704
0.07598039215686274,0.06867969212551805,0.9969516647597332
0.07598039215686274,0.06986382474837181,0.9969498065548804
0.0763888888888889,0.06986382474837181,0.9969483199274588
0.0763888888888889,0.0704558910597987,0.9969463501739644
0.07761437908496732,0.0704558910597987,0.9969334505586792
0.07761437908496732,0.07104795737122557,0.9969321177833526
0.0778186274509804,0.07104795737122557,0.9969280046895516
0.0778186274509804,0.07164002368265246,0.9969274245223438
0.0798611111111111,0.07164002368265246,0.9969014037084104
0.0798611111111111,0.07223208999407933,0.9968984056029336
0.08088235294117647,0.07223208999407933,0.9968836977802624
0.08088235294117647,0.07282415630550622,0.9968833948782416
0.08231209150326797,0.07282415630550622,0.9968666003661226
0.08231209150326797,0.07341622261693309,0.9968653886974248
0.08333333333333333,0.07341622261693309,0.996857423260743
0.08333333333333333,0.07400828892835998,0.9968561769782024
0.08374183006535947,0.07400828892835998,0.996853328229252
0.08374183006535947,0.0763765541740675,0.9968391963887444
0.08517156862745098,0.0763765541740675,0.9968254150469812
0.08517156862745098,0.07696862048549438,0.9968241311727202
0.08537581699346405,0.07696862048549438,0.9968221813347417
0.08537581699346405,0.07815275310834814,0.9968012915175852
0.08619281045751634,0.07815275310834814,0.9967843576769212
0.08619281045751634,0.07874481941977501,0.9967842343266902
0.08700980392156862,0.07874481941977501,0.996769249965486
0.08700980392156862,0.0793368857312019,0.9967662163792524
0.08741830065359477,0.0793368857312019,0.9967473392874484
0.08741830065359477,0.07992895204262877,0.9967440764704784
0.08823529411764706,0.07992895204262877,0.9967346964529532
0.08823529411764706,0.08170515097690942,0.996721789674646
0.08925653594771242,0.08170515097690942,0.9967136407956216
0.08925653594771242,0.08229721728833629,0.9967103833506537
0.0900735294117647,0.08229721728833629,0.996695076160476
0.0900735294117647,0.08348134991119005,0.996691581957653
0.09170751633986927,0.08348134991119005,0.9966719288145732
0.09170751633986927,0.08407341622261694,0.9966656445930192
0.09191176470588236,0.08407341622261694,0.9966624722748072
0.09191176470588236,0.08584961515689757,0.996635008946524
0.09313725490196079,0.08584961515689757,0.9966233896556732
0.09313725490196079,0.08644168146832445,0.9966180938564037
0.09334150326797386,0.08644168146832445,0.9966143304395932
0.09334150326797386,0.08703374777975133,0.9966119777400946
0.0974264705882353,0.08703374777975133,0.9965702325426248
0.0974264705882353,0.08762581409117821,0.9965687983870416
0.09865196078431372,0.08762581409117821,0.9965356367203448
0.09865196078431372,0.08821788040260509,0.9965317285435422
0.10130718954248366,0.08821788040260509,0.9964982979868184
0.10130718954248366,0.08880994671403197,0.9964969964914676
0.10212418300653595,0.08880994671403197,0.9964856674073584
0.10212418300653595,0.08940201302545885,0.9964789091190632
0.10580065359477124,0.08940201302545885,0.9964314481223562
0.10580065359477124,0.08999407933688573,0.996430408641521
0.11254084967320262,0.08999407933688573,0.996353602041088
0.11254084967320262,0.0905861456483126,0.9963511445569928
0.11294934640522876,0.0905861456483126,0.9963492371059652
0.11294934640522876,0.09117821195973949,0.9963490862141172
0.1133578431372549,0.09117821195973949,0.9963465529605576
0.1133578431372549,0.09177027827116636,0.9963422245656308
0.11458333333333333,0.09177027827116636,0.99631936843823
0.11458333333333333,0.09295441089402014,0.996316121977376
0.11499183006535947,0.09295441089402014,0.9963112094271054
0.11499183006535947,0.09354647720544701,0.9963094674468996
0.1156045751633987,0.09354647720544701,0.996301394570104
0.1156045751633987,0.0941385435168739,0.9962973825607804
0.11662581699346405,0.0941385435168739,0.9962885032927238
0.11662581699346405,0.09473060982830077,0.996285985255522
0.1170343137254902,0.09473060982830077,0.9962830812735168
0.1170343137254902,0.09650680876258141,0.9962733958075332
0.11744281045751634,0.09650680876258141,0.9962710108452516
0.11744281045751634,0.09709887507400829,0.9962693117184058
0.1184640522875817,0.09709887507400829,0.9962623954106604
0.1184640522875817,0.09769094138543517,0.9962578454866444
0.11887254901960784,0.09769094138543517,0.9962451582051496
0.11887254901960784,0.09828300769686205,0.9962433144709052
0.11907679738562091,0.09828300769686205,0.996241502649876
0.11907679738562091,0.0994671403197158,0.9962369615863084
0.12009803921568628,0.0994671403197158,0.9962288686411264
0.12009803921568628,0.10005920663114269,0.9962275678172344
0.12111928104575163,0.10005920663114269,0.9962210424920606
0.12111928104575163,0.10065127294256956,0.996215349883711
0.12336601307189543,0.10065127294256956,0.9961865327603392
0.12336601307189543,0.10124333925399645,0.9961854227673486
0.12438725490196079,0.10124333925399645,0.9961765016176648
0.12438725490196079,0.10183540556542332,0.9961746345083498
0.12540849673202614,0.10183540556542332,0.996166317514618
0.12540849673202614,0.10242747187685021,0.9961650796400896
0.1256127450980392,0.10242747187685021,0.9961624317963698
0.1256127450980392,0.10301953818827708,0.9961598529506556
0.12622549019607843,0.10301953818827708,0.9961572480979548
0.12622549019607843,0.10361160449970397,0.9961556895068224
0.12663398692810457,0.10361160449970397,0.9961491574332696
0.12663398692810457,0.10420367081113084,0.9961486402975128
0.12745098039215685,0.10420367081113084,0.9961247832722804
0.12745098039215685,0.10479573712255773,0.9961220372733628
0.1284722222222222,0.10479573712255773,0.9961123629824908
0.1284722222222222,0.1053878034339846,0.9961098286977804
0.12908496732026145,0.1053878034339846,0.9961078923838425
0.12908496732026145,0.10597986974541149,0.9961060580758324
0.12928921568627452,0.10597986974541149,0.996103619735542
0.12928921568627452,0.10657193605683836,0.9960999400348562
0.1294934640522876,0.10657193605683836,0.9960986531652594
0.1294934640522876,0.10716400236826525,0.9960971967513688
0.12990196078431374,0.10716400236826525,0.996093067273016
0.12990196078431374,0.10775606867969213,0.99608899871588
0.1301062091503268,0.10775606867969213,0.9960857181914992
