treatment,outcome,adjustment_set,n,ps_mean,ps_min,ps_max,ps_p05,ps_p95,frac_outside_clip,kish_ess,kish_ess_frac
heat_index,hrv_rmssd,"stress_proxy,active_minutes,sleep_efficiency,aqi,temperature_c",18000,0.5036110963422994,1.0198911599752604e-24,1.0,8.897191285904794e-15,0.9999999999999962,0.9339444444444445,11316.640150529356,0.6287022305849642
heat_index,sleep_efficiency,"stress_proxy,active_minutes,aqi,temperature_c",18000,0.5036111601152455,1.0283685525266902e-24,1.0,8.880452709261929e-15,0.9999999999999962,0.9339444444444445,11314.99655697324,0.6286109198318466
active_minutes,hrv_rmssd,"stress_proxy,sleep_efficiency,aqi,temperature_c",18000,0.500173357518387,0.290832520919842,0.6097652192462839,0.3968052461273008,0.603802560589543,0.0,17725.387637411797,0.9847437576339887
