precision,recall,threshold,f1
0.2235294117647059,1.0,0.8828852150158435,0.3653846153843167
0.22379269729093051,1.0,0.8840989685681153,0.36573628488901777
0.2240566037735849,1.0,0.8949483302482414,0.36608863198428665
0.2243211334120425,1.0,0.9115486624889602,0.36644165863036604
0.22458628841607564,1.0,0.9139035361563956,0.36679536679506725
0.22366863905325443,0.9947368421052631,0.9262895817699306,0.365217391304048
0.22393364928909953,0.9947368421052631,0.9286607339155358,0.3655705996128528
0.22419928825622776,0.9947368421052631,0.928723625506476,0.3659244917712389
0.22446555819477435,0.9947368421052631,0.9299154969467458,0.3662790697671414
0.22473246135552913,0.9947368421052631,0.9303785757846847,0.3666343355962076
0.225,0.9947368421052631,0.9334739779703396,0.366990291261835
0.22526817640047675,0.9947368421052631,0.9373779130803954,0.3673469387752091
0.22553699284009546,0.9947368421052631,0.9392543170940848,0.3677042801553407
0.22580645161290322,0.9947368421052631,0.940418379420257,0.36806231742910445
0.22607655502392343,0.9947368421052631,0.9414208832182488,0.3684210526312771
0.22634730538922157,0.9947368421052631,0.9419301435954546,0.368780487804576
0.22541966426858512,0.9894736842105263,0.9423110646029668,0.36718749999969774
0.22569027611044418,0.9894736842105263,0.9433976540200146,0.36754643206225857
0.22596153846153846,0.9894736842105263,0.9456376630523732,0.3679060665359008
0.22623345367027678,0.9894736842105263,0.9471847492505692,0.36826640548451584
0.22650602409638554,0.9894736842105263,0.9476923545002968,0.368627450980089
0.22677925211097708,0.9894736842105263,0.9508713935370634,0.3689892051027388
0.22705314009661837,0.9894736842105263,0.9527195701312858,0.36935166994075724
0.22732769044740025,0.9894736842105263,0.9528966205433334,0.36971484759064993
0.22760290556900725,0.9894736842105263,0.953273685669616,0.37007874015717623
0.22787878787878788,0.9894736842105263,0.95330080609524,0.37044334975339027
0.22815533980582525,0.9894736842105263,0.9534831694744306,0.3708086785006816
0.2284325637910085,0.9894736842105263,0.9544546531277722,0.37117472852881667
0.22871046228710462,0.9894736842105263,0.9551940960531384,0.37154150197597957
0.2289890377588307,0.9894736842105263,0.95535172345431,0.37190900098881446
0.22926829268292684,0.9894736842105263,0.956276816340571,0.3722772277224668
0.22954822954822954,0.9894736842105263,0.9576556865112118,0.37264618434062585
0.22860635696821516,0.9842105263157894,0.9576761879785016,0.3710317460314401
0.22888616891064872,0.9842105263157894,0.9581389374742042,0.3714001986094257
0.22916666666666666,0.9842105263157894,0.9582563030750342,0.3717693836975067
0.2282208588957055,0.9789473684210527,0.9588643974584894,0.37014925373103663
0.2285012285012285,0.9789473684210527,0.9595409135327386,0.3705179282865457
0.22878228782287824,0.9789473684210527,0.9598144198610798,0.3708873379857348
0.229064039408867,0.9789473684210527,0.9602111809051506,0.3712574850296328
0.22934648581997533,0.9789473684210527,0.9602733754594096,0.371628371628064
0.22962962962962963,0.9789473684210527,0.960569231958868,0.37199999999969213
0.22991347342398022,0.9789473684210527,0.9608323601835402,0.37237237237206433
0.2301980198019802,0.9789473684210527,0.9611218505202872,0.3727454909816556
0.23048327137546468,0.9789473684210527,0.961408944803952,0.3731193580739141
0.23076923076923078,0.9789473684210527,0.961946983407682,0.3734939759033057
0.231055900621118,0.9789473684210527,0.9619738929279832,0.3738693467333593
0.23134328358208955,0.9789473684210527,0.9626437483045658,0.3742454728367129
0.23163138231631383,0.9789473684210527,0.9626731164312315,0.37462235649515885
0.23192019950124687,0.9789473684210527,0.9634125183555744,0.37499999999969025
0.23220973782771537,0.9789473684210527,0.9635294960283244,0.3753784056505478
0.2325,0.9789473684210527,0.9637478350742696,0.37575757575726554
0.2327909887359199,0.9789473684210527,0.9638227004068244,0.37613751263871886
0.23308270676691728,0.9789473684210527,0.9640534719189756,0.3765182186231711
0.23337515683814303,0.9789473684210527,0.9644056770968432,0.37689969604832135
0.23366834170854273,0.9789473684210527,0.964498348356534,0.37728194726135217
0.2339622641509434,0.9789473684210527,0.9647536524216244,0.3776649746189779
0.23425692695214106,0.9789473684210527,0.9650683116785936,0.3780487804874933
0.23455233291298866,0.9789473684210527,0.9661308901498138,0.37843336724282134
0.23484848484848486,0.9789473684210527,0.9664255347805146,0.3788187372705637
0.23514538558786346,0.9789473684210527,0.9674471364876422,0.3792048929660485
0.23544303797468355,0.9789473684210527,0.9675162276755596,0.3795918367343813
0.23574144486692014,0.9789473684210527,0.9678402290140324,0.3799795709904941
0.23604060913705585,0.9789473684210527,0.968065556409556,0.38036809815919614
0.2363405336721728,0.9789473684210527,0.968136054148488,0.38075742067522406
0.2366412213740458,0.9789473684210527,0.9690793554385532,0.381147540983293
0.23694267515923567,0.9789473684210527,0.969385549847753,0.3815384615381477
0.2372448979591837,0.9789473684210527,0.9694572322405132,0.38193018480461405
0.23754789272030652,0.9789473684210527,0.9695092062528748,0.3823227132576507
0.23785166240409208,0.9789473684210527,0.9696412937447269,0.3827160493824015
0.23815620998719592,0.9789473684210527,0.9697723400483986,0.3831101956742475
0.23846153846153847,0.9789473684210527,0.969925993788241,0.38350515463886026
0.23876765083440307,0.9789473684210527,0.969998139476095,0.38390092879225435
0.2390745501285347,0.9789473684210527,0.9700451549266776,0.3842975206608415
0.23938223938223938,0.9789473684210527,0.9703863739029706,0.38469493278148353
0.23969072164948454,0.9789473684210527,0.9707289294501292,0.38509316770154733
0.24,0.9789473684210527,0.9711793609243692,0.38549222797895827
0.24031007751937986,0.9789473684210527,0.9713784744834002,0.38589211618225605
0.240620957309185,0.9789473684210527,0.9715223252537027,0.38629283489064903
0.24093264248704663,0.9789473684210527,0.971549449614474,0.38669438669406964
0.24124513618677043,0.9789473684210527,0.971614922282817,0.38709677419323113
0.24155844155844156,0.9789473684210527,0.9716488577824356,0.38749999999968243
