dataset,threshold,inhouse_pass_pct,inhouse_pass_AND_all3_pub_fail_pct,pub_only_consensus_rejection_pct,k_inhouse_vs_orphanidou,k_inhouse_vs_sukor,k_inhouse_vs_elgendi,median_pairwise_published_k
WESAD,0.5,100.0,44.570994684889904,44.570994684889904,0.0,0.0,0.0,-0.197756049108045
WESAD,0.6,100.0,44.570994684889904,44.570994684889904,0.0,0.0,0.0,-0.197756049108045
WESAD,0.7,100.0,44.570994684889904,44.570994684889904,0.0,0.0,0.0,-0.197756049108045
WESAD,0.8,100.0,44.570994684889904,44.570994684889904,0.0,0.0,0.0,-0.197756049108045
WESAD,0.85,99.96962794229309,44.54062262718299,44.570994684889904,0.00020959400747277979,0.00020743024160274626,0.00016643961939999397,-0.197756049108045
WESAD,0.9,99.63553530751709,44.47987851176917,44.570994684889904,-0.0032119946303836855,-0.0036312754834204597,0.0008382871899803579,-0.197756049108045
WESAD,0.95,97.12984054669704,43.568716780561886,44.570994684889904,-0.010625833180886834,-0.011169006399802672,0.0006486331177704141,-0.197756049108045
PPG-DaLiA,0.5,100.0,43.12869389276396,43.12869389276396,0.0,0.0,0.0,-0.20443257451623298
PPG-DaLiA,0.6,100.0,43.12869389276396,43.12869389276396,0.0,0.0,0.0,-0.20443257451623298
PPG-DaLiA,0.7,100.0,43.12869389276396,43.12869389276396,0.0,0.0,0.0,-0.20443257451623298
PPG-DaLiA,0.8,99.99467546988978,43.12869389276396,43.12869389276396,4.184569067466892e-05,3.9538758801249685e-05,-0.00010649467312906502,-0.20443257451623298
PPG-DaLiA,0.85,99.90415845801608,43.07012406155157,43.12869389276396,0.00030837268102545945,0.00027375467975454537,-5.441314562260047e-06,-0.20443257451623298
PPG-DaLiA,0.9,99.56871306107236,42.84649379692242,43.12869389276396,0.0020597697577012797,0.0011612886802965239,0.0006602156454080799,-0.20443257451623298
PPG-DaLiA,0.95,97.17799904158458,41.664448112454075,43.12869389276396,0.014565268758421679,0.00721010298924718,-0.006325843879754656,-0.20443257451623298
