condition,n_subjects,mean_auroc,median_auroc,auroc_ci_low,auroc_ci_high
all,15,0.8040106459028852,0.8499427659648271,0.7158755838837251,0.8706873522303614
inhouse,15,0.8040106459028852,0.8499427659648271,0.7158755838837251,0.8706873522303614
orphanidou,14,0.8231875511326917,0.8215173262727611,0.7443189242129397,0.905780214244037
both,14,0.8231875511326917,0.8215173262727611,0.7443189242129397,0.905780214244037
