label_name,n,ecg_sqi_mean,ppg_sqi_mean,ppg_motion_mean
amusement,146,0.9854010532114232,0.981839038494666,0.03301993000969798
baseline,455,0.9870249253616173,0.9876948462547191,0.022373006809601647
stress,249,0.9834014561332165,0.9841765527555406,0.028769904080835396
