threshold,tpr,fpr,youden_j
inf,0.0,0.0,0.0
0.9988705782135254,0.0,0.0015151515151515152,-0.0015151515151515152
0.9985394792077076,0.0,0.00909090909090909,-0.00909090909090909
0.9983370030953784,0.005263157894736842,0.00909090909090909,-0.0038277511961722485
0.9977580915347896,0.005263157894736842,0.021212121212121213,-0.015948963317384372
0.9975744684455876,0.015789473684210527,0.021212121212121213,-0.005422647527910687
0.9975569945415086,0.015789473684210527,0.022727272727272728,-0.006937799043062201
0.9974202217278444,0.02631578947368421,0.022727272727272728,0.003588516746411481
0.9973557655587088,0.02631578947368421,0.024242424242424242,0.0020733652312599667
0.9973493373689044,0.031578947368421054,0.024242424242424242,0.007336523125996811
0.9973476001189552,0.031578947368421054,0.025757575757575757,0.005821371610845297
0.9973247403975496,0.05789473684210526,0.025757575757575757,0.032137161084529506
0.9972725756775852,0.05789473684210526,0.02878787878787879,0.029106858054226473
0.9972654639837024,0.06315789473684211,0.02878787878787879,0.034370015948963314
0.997118423135762,0.06315789473684211,0.04090909090909091,0.0222488038277512
0.997090560510258,0.06842105263157895,0.04090909090909091,0.027511961722488043
0.9970865256439564,0.06842105263157895,0.04242424242424243,0.025996810207336525
0.9969321177833526,0.07368421052631578,0.04242424242424243,0.031259968102073356
0.996869349442436,0.07368421052631578,0.05,0.02368421052631578
0.9968391963887444,0.07894736842105263,0.05,0.028947368421052624
0.996791796829053,0.07894736842105263,0.05303030303030303,0.025917065390749595
0.9967103833506537,0.1,0.05303030303030303,0.046969696969696974
0.9966624722748072,0.1,0.05757575757575758,0.04242424242424243
0.9966376698747748,0.10526315789473684,0.05757575757575758,0.04768740031897926
0.996456638387022,0.10526315789473684,0.06666666666666667,0.03859649122807017
0.996430408641521,0.11052631578947368,0.06666666666666667,0.043859649122807015
0.9964124606472162,0.11052631578947368,0.0696969696969697,0.04082934609250398
0.9962973825607804,0.12631578947368421,0.0696969696969697,0.05661881977671451
0.9962885032927238,0.12631578947368421,0.07121212121212121,0.055103668261563
0.9962733958075332,0.13157894736842105,0.07121212121212121,0.06036682615629983
0.9961841378985984,0.13157894736842105,0.07424242424242425,0.0573365231259968
0.9961598529506556,0.1368421052631579,0.07424242424242425,0.06259968102073366
0.9961186810479497,0.1368421052631579,0.07575757575757576,0.061084529505582144
0.9960769891307422,0.14210526315789473,0.07575757575757576,0.06634768740031897
0.9959853452406546,0.14210526315789473,0.07878787878787878,0.06331738437001595
0.995968704742678,0.14736842105263157,0.07878787878787878,0.06858054226475278
0.9959256979755204,0.14736842105263157,0.08333333333333333,0.06403508771929824
0.995923475186191,0.15263157894736842,0.08333333333333333,0.0692982456140351
0.9959210028399176,0.15263157894736842,0.08484848484848485,0.06778309409888357
0.995901681973518,0.16842105263157894,0.08484848484848485,0.08357256778309409
0.9957885098544664,0.16842105263157894,0.09242424242424242,0.07599681020733652
0.9957787006248782,0.1736842105263158,0.09242424242424242,0.08125996810207338
0.995767057226139,0.1736842105263158,0.09393939393939393,0.07974481658692187
0.9957261965023552,0.17894736842105263,0.09393939393939393,0.0850079744816587
0.9957069509944034,0.17894736842105263,0.09545454545454546,0.08349282296650717
0.995681143771934,0.18947368421052632,0.09545454545454546,0.09401913875598086
0.9956750473107032,0.18947368421052632,0.09696969696969697,0.09250398724082935
0.9956084151869584,0.2,0.09696969696969697,0.10303030303030304
0.995600600804878,0.2,0.09848484848484848,0.10151515151515153
0.9955462701202475,0.21578947368421053,0.09848484848484848,0.11730462519936205
0.9954393771141286,0.21578947368421053,0.10151515151515152,0.11427432216905901
0.9954319306101976,0.22105263157894736,0.10151515151515152,0.11953748006379585
0.9954165304186356,0.22105263157894736,0.10303030303030303,0.11802232854864433
0.9954079178605496,0.23157894736842105,0.10303030303030303,0.12854864433811802
0.9953954475604792,0.23157894736842105,0.10606060606060606,0.12551834130781497
0.9953340389078598,0.24210526315789474,0.10606060606060606,0.1360446570972887
0.9953154811678336,0.24210526315789474,0.10909090909090909,0.13301435406698564
0.9952867614014668,0.25263157894736843,0.10909090909090909,0.14354066985645936
0.995286268307746,0.25263157894736843,0.11060606060606061,0.14202551834130783
0.9952812588245604,0.2578947368421053,0.11060606060606061,0.1472886762360447
0.9952192757160714,0.2578947368421053,0.11363636363636363,0.14425837320574164
0.9951233130360642,0.2789473684210526,0.11363636363636363,0.16531100478468896
0.9951001630828432,0.2789473684210526,0.11666666666666667,0.16228070175438594
0.9950496788449426,0.28421052631578947,0.11666666666666667,0.1675438596491228
0.99502016898334,0.28421052631578947,0.12272727272727273,0.16148325358851673
0.9950083610127334,0.2894736842105263,0.12272727272727273,0.1667464114832536
0.9949759835634416,0.2894736842105263,0.12575757575757576,0.16371610845295057
0.9949598346550964,0.29473684210526313,0.12575757575757576,0.16897926634768737
0.9949367061787262,0.29473684210526313,0.12878787878787878,0.16594896331738435
0.9949233673440818,0.3,0.12878787878787878,0.1712121212121212
0.994887828020726,0.3,0.1303030303030303,0.16969696969696968
0.9948639481289904,0.3105263157894737,0.1303030303030303,0.1802232854864434
0.9947822941228112,0.3105263157894737,0.13636363636363635,0.17416267942583735
0.9947244449740604,0.32105263157894737,0.13636363636363635,0.184688995215311
0.9947185149202769,0.32105263157894737,0.1393939393939394,0.18165869218500796
0.994715796889346,0.3263157894736842,0.1393939393939394,0.18692185007974482
0.994660649302098,0.3263157894736842,0.14696969696969697,0.17934609250398725
0.9946165272188288,0.3368421052631579,0.14696969696969697,0.18987240829346091
0.9945986146575494,0.3368421052631579,0.1484848484848485,0.1883572567783094
0.9945906544041088,0.34210526315789475,0.1484848484848485,0.19362041467304625
0.9945029943630486,0.34210526315789475,0.15,0.19210526315789475
0.9944920273934206,0.3473684210526316,0.15,0.1973684210526316
0.9944835028852812,0.3473684210526316,0.15151515151515152,0.19585326953748008
0.9944796188142552,0.3526315789473684,0.15151515151515152,0.2011164274322169
0.9944711749044696,0.3526315789473684,0.15303030303030302,0.1996012759170654
0.9944401471711324,0.3631578947368421,0.15303030303030302,0.2101275917065391
0.9942346028674344,0.3631578947368421,0.16363636363636364,0.1995215311004785
0.9942187238090894,0.3736842105263158,0.16363636363636364,0.21004784688995215
0.9941398921758652,0.3736842105263158,0.1712121212121212,0.20247208931419458
0.9940920841645732,0.39473684210526316,0.1712121212121212,0.22352472089314196
0.9940675710710878,0.39473684210526316,0.17424242424242425,0.2204944178628389
0.9940571771808464,0.4052631578947368,0.17424242424242425,0.23102073365231257
0.994008553942212,0.4052631578947368,0.18181818181818182,0.223444976076555
0.9939940956980589,0.41578947368421054,0.18181818181818182,0.23397129186602872
0.9939318405896034,0.41578947368421054,0.18636363636363637,0.22942583732057417
0.9938772312968014,0.42105263157894735,0.18636363636363637,0.23468899521531097
0.9938320671038828,0.42105263157894735,0.19242424242424241,0.22862838915470493
0.993815371723255,0.4263157894736842,0.19242424242424241,0.2338915470494418
0.9937353710184996,0.4263157894736842,0.19696969696969696,0.22934609250398724
0.9937232818860008,0.4368421052631579,0.19696969696969696,0.23987240829346096
0.9936743581332286,0.4368421052631579,0.2015151515151515,0.2353269537480064
0.9936710943322876,0.4421052631578947,0.2015151515151515,0.24059011164274322
0.9936132059977784,0.4421052631578947,0.20757575757575758,0.23452950558213714
0.9935711382950232,0.4473684210526316,0.20757575757575758,0.239792663476874
0.993540076820912,0.4473684210526316,0.2106060606060606,0.23676236044657098
0.9935366403523463,0.45263157894736844,0.2106060606060606,0.24202551834130784
0.9934856424280704,0.45263157894736844,0.21515151515151515,0.2374800637958533
0.993453624220838,0.45789473684210524,0.21515151515151515,0.2427432216905901
0.9933755227539024,0.45789473684210524,0.21818181818181817,0.23971291866028707
0.9933451164931656,0.46842105263157896,0.21818181818181817,0.2502392344497608
0.9933025281073996,0.46842105263157896,0.22121212121212122,0.24720893141945774
0.993263240326608,0.4842105263157895,0.22121212121212122,0.26299840510366823
0.993248634565778,0.4842105263157895,0.22424242424242424,0.25996810207336524
0.993233068467196,0.48947368421052634,0.22424242424242424,0.2652312599681021
0.9932088670212926,0.48947368421052634,0.22727272727272727,0.2622009569377991
0.9931969786971891,0.49473684210526314,0.22727272727272727,0.26746411483253585
0.9931316891468268,0.49473684210526314,0.23484848484848486,0.2598883572567783
0.9930791328005676,0.5210526315789473,0.23484848484848486,0.28620414673046246
0.9930442830017387,0.5210526315789473,0.23636363636363636,0.284688995215311
0.9930394115970078,0.5263157894736842,0.23636363636363636,0.28995215311004785
0.992870680468286,0.5263157894736842,0.24848484848484848,0.2778309409888357
0.9928454460333151,0.531578947368421,0.24848484848484848,0.28309409888357256
0.9928390357494143,0.531578947368421,0.25,0.28157894736842104
0.9928333423614476,0.5368421052631579,0.25,0.2868421052631579
0.9928305790362584,0.5368421052631579,0.25303030303030305,0.28381180223285485
0.9928112416730126,0.5421052631578948,0.25303030303030305,0.2890749601275917
0.992783382445747,0.5421052631578948,0.25606060606060604,0.2860446570972887
0.9927429963431796,0.5526315789473685,0.25606060606060604,0.29657097288676243
0.9926941834256556,0.5526315789473685,0.2606060606060606,0.29202551834130785
0.992672581144139,0.5578947368421052,0.2606060606060606,0.2972886762360446
0.9926247742480268,0.5578947368421052,0.26666666666666666,0.29122807017543856
0.992624448389356,0.5631578947368421,0.26666666666666666,0.2964912280701754
0.992558805546208,0.5631578947368421,0.27575757575757576,0.2874003189792663
0.99253289018622,0.5684210526315789,0.27575757575757576,0.2926634768740032
0.992523114201732,0.5684210526315789,0.2772727272727273,0.29114832535885166
0.9925177284676684,0.5736842105263158,0.2772727272727273,0.2964114832535885
0.992491262276493,0.5736842105263158,0.2818181818181818,0.291866028708134
0.9924170312438994,0.5842105263157895,0.2818181818181818,0.3023923444976077
0.9923629443177512,0.5842105263157895,0.2863636363636364,0.29784688995215314
0.9923493581100198,0.5894736842105263,0.2863636363636364,0.3031100478468899
0.9920919781452486,0.5894736842105263,0.3015151515151515,0.28795853269537475
0.992081928568507,0.5947368421052631,0.3015151515151515,0.2932216905901116
0.992069542991459,0.5947368421052631,0.30606060606060603,0.2886762360446571
0.992067683820786,0.6,0.30606060606060603,0.29393939393939394
0.9919947935649956,0.6,0.3106060606060606,0.28939393939393937
0.991958085108804,0.6105263157894737,0.3106060606060606,0.2999202551834131
0.9919412519210996,0.6105263157894737,0.31212121212121213,0.29840510366826156
0.9918807929847098,0.6157894736842106,0.31212121212121213,0.3036682615629984
0.9918745855460472,0.6157894736842106,0.31363636363636366,0.3021531100478469
0.9918576059398894,0.6210526315789474,0.31363636363636366,0.30741626794258375
0.9918373870862084,0.6210526315789474,0.31666666666666665,0.30438596491228076
0.9918087542632792,0.6263157894736842,0.31666666666666665,0.3096491228070175
0.9917875351989104,0.6263157894736842,0.3212121212121212,0.30510366826156293
0.9917192307595042,0.6368421052631579,0.3212121212121212,0.31562998405103665
0.9916841099913278,0.6368421052631579,0.32272727272727275,0.3141148325358851
0.9916675569402928,0.6421052631578947,0.32272727272727275,0.319377990430622
0.991598941006856,0.6421052631578947,0.32575757575757575,0.316347687400319
0.99150640023445,0.6578947368421053,0.32575757575757575,0.33213716108452956
0.9915055478157752,0.6578947368421053,0.32727272727272727,0.33062200956937804
0.991499841089704,0.6631578947368421,0.32727272727272727,0.3358851674641148
0.9914982988526032,0.6631578947368421,0.3303030303030303,0.33285486443381174
0.9914980320074248,0.6684210526315789,0.3303030303030303,0.3381180223285486
0.991367182343202,0.6684210526315789,0.3378787878787879,0.330542264752791
0.9913230380782576,0.6736842105263158,0.3378787878787879,0.3358054226475279
0.991174919330306,0.6736842105263158,0.346969696969697,0.3267145135566188
0.9911516832101032,0.6789473684210526,0.346969696969697,0.33197767145135565
0.991036064263833,0.6789473684210526,0.35454545454545455,0.3244019138755981
0.990979239871104,0.6842105263157895,0.35454545454545455,0.32966507177033494
0.9909484297768372,0.6842105263157895,0.35909090909090907,0.3251196172248804
0.9909473252349874,0.6894736842105263,0.35909090909090907,0.3303827751196173
0.9907958563938912,0.6894736842105263,0.37272727272727274,0.3167464114832536
0.9907872014204702,0.6947368421052632,0.37272727272727274,0.32200956937799047
0.9905354964126338,0.6947368421052632,0.38181818181818183,0.3129186602870814
0.990513620184366,0.7,0.38181818181818183,0.3181818181818181
0.9901556469732464,0.7,0.4090909090909091,0.29090909090909084
0.990106765206434,0.7105263157894737,0.4090909090909091,0.30143540669856456
0.99010312661315,0.7105263157894737,0.4106060606060606,0.2999202551834131
0.990094115501565,0.7157894736842105,0.4106060606060606,0.30518341307814995
0.9900920472678594,0.7157894736842105,0.4121212121212121,0.3036682615629984
0.990090980293769,0.7210526315789474,0.4121212121212121,0.3089314194577353
0.9899769450583332,0.7210526315789474,0.4196969696969697,0.3013556618819777
0.9899731395793184,0.7263157894736842,0.4196969696969697,0.30661881977671457
0.9899636401034676,0.7263157894736842,0.4212121212121212,0.30510366826156304
0.9899503617984632,0.7315789473684211,0.4212121212121212,0.3103668261562999
0.9899498995250602,0.7315789473684211,0.42272727272727273,0.3088516746411484
0.9899265274150072,0.7368421052631579,0.42272727272727273,0.3141148325358851
0.989789614326864,0.7368421052631579,0.4318181818181818,0.30502392344497603
0.9897801396152108,0.7421052631578947,0.4318181818181818,0.3102870813397129
0.9897446516986026,0.7421052631578947,0.43636363636363634,0.30574162679425837
0.9897177319429484,0.7473684210526316,0.43636363636363634,0.31100478468899523
0.9895935781086144,0.7473684210526316,0.44696969696969696,0.3003987240829346
0.9895868129397996,0.7526315789473684,0.44696969696969696,0.30566188197767147
0.9895815596407604,0.7526315789473684,0.4484848484848485,0.30414673046251994
0.9895630165842516,0.7578947368421053,0.4484848484848485,0.3094098883572568
0.9892640447443092,0.7578947368421053,0.4621212121212121,0.2957735247208932
0.989263299918707,0.7631578947368421,0.4621212121212121,0.30103668261563005
0.9891873351355632,0.7631578947368421,0.4681818181818182,0.29497607655502395
0.9891864491803066,0.7684210526315789,0.4681818181818182,0.3002392344497607
0.9889780106364512,0.7684210526315789,0.4803030303030303,0.2881180223285486
0.9889761826276836,0.7736842105263158,0.4803030303030303,0.29338118022328546
0.9888992781373444,0.7736842105263158,0.48333333333333334,0.2903508771929824
0.9888201371331,0.7842105263157895,0.48333333333333334,0.30087719298245613
0.9886555164976024,0.7842105263157895,0.4909090909090909,0.29330143540669856
0.988644916533217,0.7894736842105263,0.4909090909090909,0.2985645933014354
0.9883278086052008,0.7894736842105263,0.5045454545454545,0.2849282296650718
0.988252060806016,0.7947368421052632,0.5045454545454545,0.29019138755980867
0.9882341582844824,0.7947368421052632,0.5060606060606061,0.2886762360446571
0.9880667676005396,0.8,0.5060606060606061,0.29393939393939394
0.98798108259885,0.8,0.5121212121212121,0.28787878787878796
0.9879744834777158,0.8052631578947368,0.5121212121212121,0.2931419457735247
0.9879348534021546,0.8052631578947368,0.5136363636363637,0.2916267942583731
0.9878780124646204,0.8105263157894737,0.5136363636363637,0.29688995215311
0.9877873180418886,0.8105263157894737,0.5181818181818182,0.29234449760765546
0.9877595947215748,0.8157894736842105,0.5181818181818182,0.2976076555023923
0.9875894362451232,0.8157894736842105,0.5272727272727272,0.2885167464114833
0.9875825763218388,0.8210526315789474,0.5272727272727272,0.29377990430622014
0.9875119449380918,0.8210526315789474,0.5287878787878788,0.29226475279106856
0.9874818042655068,0.8263157894736842,0.5287878787878788,0.2975279106858054
0.9874193072401888,0.8263157894736842,0.5303030303030303,0.29601275917065395
0.987388052309898,0.8315789473684211,0.5303030303030303,0.3012759170653908
0.9873690708252568,0.8315789473684211,0.5318181818181819,0.2997607655502392
0.9873301754728864,0.8368421052631579,0.5318181818181819,0.3050239234449761
0.9873200545701306,0.8368421052631579,0.5363636363636364,0.30047846889952157
0.9873137370670986,0.8421052631578947,0.5363636363636364,0.3057416267942583
0.9871533484075043,0.8421052631578947,0.5424242424242425,0.2996810207336522
0.9871474104439136,0.8473684210526315,0.5424242424242425,0.3049441786283891
0.9871015711340344,0.8473684210526315,0.5454545454545454,0.30191387559808613
0.9870555112363872,0.8526315789473684,0.5454545454545454,0.307177033492823
0.9869002778058432,0.8526315789473684,0.5545454545454546,0.29808612440191384
0.9868624428270864,0.8578947368421053,0.5545454545454546,0.3033492822966507
0.9868263952790186,0.8578947368421053,0.556060606060606,0.30183413078149923
0.9868011637736444,0.8631578947368421,0.556060606060606,0.3070972886762361
0.9864984204822778,0.8631578947368421,0.5712121212121212,0.29194577352472095
0.986495529487879,0.868421052631579,0.5712121212121212,0.2972089314194578
0.9864489382125888,0.868421052631579,0.5727272727272728,0.29569377990430623
0.9863862896084226,0.8736842105263158,0.5727272727272728,0.3009569377990431
0.9858961047446476,0.8736842105263158,0.5848484848484848,0.288835725677831
0.9858928720693448,0.8789473684210526,0.5848484848484848,0.29409888357256775
0.9858498721927332,0.8789473684210526,0.5893939393939394,0.28955342902711323
0.9858441881251618,0.8842105263157894,0.5893939393939394,0.2948165869218501
0.9858095830921858,0.8842105263157894,0.5909090909090909,0.2933014354066985
0.985761797095202,0.8894736842105263,0.5909090909090909,0.29856459330143537
0.9857441188943356,0.8894736842105263,0.593939393939394,0.2955342902711323
0.9856919096749096,0.8947368421052632,0.593939393939394,0.3007974481658692
0.9854930558294333,0.8947368421052632,0.6060606060606061,0.2886762360446571
0.985435421823682,0.9,0.6060606060606061,0.29393939393939394
0.9845599952353092,0.9,0.6333333333333333,0.2666666666666667
0.984532096254702,0.9052631578947369,0.6333333333333333,0.2719298245614036
0.98392909509488,0.9052631578947369,0.65,0.25526315789473686
0.9838912220090492,0.9105263157894737,0.65,0.2605263157894737
0.9834665965746212,0.9105263157894737,0.6636363636363637,0.24688995215311005
0.9834591613616376,0.9157894736842105,0.6636363636363637,0.2521531100478468
0.983095111976878,0.9157894736842105,0.6757575757575758,0.2400318979266347
0.9830064206795576,0.9263157894736842,0.6757575757575758,0.2505582137161084
0.9819808135783836,0.9263157894736842,0.7015151515151515,0.22480063795853267
0.9817743645459932,0.9315789473684211,0.7015151515151515,0.23006379585326953
0.9815701135040036,0.9315789473684211,0.7075757575757575,0.22400318979266354
0.9815122157270452,0.9368421052631579,0.7075757575757575,0.2292663476874004
0.9796954482913088,0.9368421052631579,0.7515151515151515,0.18532695374800645
0.9796165188534582,0.9421052631578948,0.7515151515151515,0.1905901116427433
0.979484572076332,0.9421052631578948,0.7560606060606061,0.18604465709728868
0.9794756858917936,0.9473684210526315,0.7560606060606061,0.19130781499202543
0.9790445561467058,0.9473684210526315,0.7651515151515151,0.1822169059011164
0.9789439636236464,0.9526315789473684,0.7651515151515151,0.18748006379585325
0.9788939459032512,0.9526315789473684,0.7666666666666667,0.18596491228070167
0.9788604320872484,0.9578947368421052,0.7666666666666667,0.19122807017543852
0.9778813238584708,0.9578947368421052,0.7833333333333333,0.17456140350877192
0.9778111427730732,0.9631578947368421,0.7833333333333333,0.17982456140350878
0.976933990388852,0.9631578947368421,0.8045454545454546,0.15861244019138754
0.9769223566969634,0.968421052631579,0.8045454545454546,0.1638755980861244
0.9756536792051174,0.968421052631579,0.8272727272727273,0.1411483253588517
0.9755993830630774,0.9736842105263158,0.8272727272727273,0.14641148325358855
0.9737962873610856,0.9736842105263158,0.853030303030303,0.12065390749601279
0.9737456085037456,0.9789473684210527,0.853030303030303,0.12591706539074965
0.9588643974584894,0.9789473684210527,0.953030303030303,0.025917065390749672
0.9582563030750342,0.9842105263157894,0.953030303030303,0.03118022328548642
0.9576761879785016,0.9842105263157894,0.956060606060606,0.02814992025518337
0.9576556865112118,0.9894736842105263,0.956060606060606,0.03341307814992023
0.9423110646029668,0.9894736842105263,0.9787878787878788,0.01068580542264752
0.9419301435954546,0.9947368421052631,0.9787878787878788,0.01594896331738438
0.9262895817699306,0.9947368421052631,0.9939393939393939,0.0007974481658692412
0.9139035361563956,1.0,0.9939393939393939,0.0060606060606061
0.8828852150158435,1.0,1.0,0.0
