subject_id,n_windows,in_house_mean,orphanidou_acceptable_frac,spearman,point_biserial,both_pass,both_fail,inhouse_pass_orph_fail,inhouse_fail_orph_pass
S2,422,0.9879,0.2915,0.2646,0.2986,123,0,299,0
S3,428,0.9835,0.1565,0.2139,0.1036,67,0,361,0
